"dane_code","department","municipality","cod_dde_2026","cod_mme_2026","municipality_2026","pvs1_petro_2022","petro_winner_2022","winner_name_2022","share_cepeda_2026","cepeda_winner_2026","winner_name_2026","total_votes_2026","match_type","switched_plurality","petro_share_diff","petro_supporter_switched"
"05001","Antioquia","Medellin","01","001","MEDELLIN",0.244699999690056,FALSE,"federico_gutiérrez",0.242316658106102,FALSE,"ABELARDO DE LA ESPRIELLA",1240183,"exact",FALSE,-0.00238334158395376,"Did not vote Petro before"
"05002","Antioquia","Abejorral","01","004","ABEJORRAL",0.0940999984741211,FALSE,"federico_gutiérrez",0.122222222222222,FALSE,"ABELARDO DE LA ESPRIELLA",7560,"exact",FALSE,0.0281222237481011,"Did not vote Petro before"
"05004","Antioquia","Abriaqui","01","007","ABRIAQUI",0.0571999996900558,FALSE,"federico_gutiérrez",0.0929808568824066,FALSE,"ABELARDO DE LA ESPRIELLA",1097,"exact",FALSE,0.0357808571923507,"Did not vote Petro before"
"05021","Antioquia","Alejandria","01","010","ALEJANDRIA",0.116200000047684,FALSE,"federico_gutiérrez",0.140942028985507,FALSE,"ABELARDO DE LA ESPRIELLA",2760,"exact",FALSE,0.0247420289378235,"Did not vote Petro before"
"05030","Antioquia","Amaga","01","013","AMAGA",0.197999998927116,FALSE,"federico_gutiérrez",0.293313184737439,FALSE,"ABELARDO DE LA ESPRIELLA",13235,"exact",FALSE,0.0953131858103222,"Did not vote Petro before"
"05031","Antioquia","Amalfi","01","016","AMALFI",0.146799996495247,FALSE,"federico_gutiérrez",0.168738898756661,FALSE,"ABELARDO DE LA ESPRIELLA",6756,"exact",FALSE,0.0219389022614138,"Did not vote Petro before"
"05034","Antioquia","Andes","01","019","ANDES",0.147399991750717,FALSE,"federico_gutiérrez",0.144851362043631,FALSE,"ABELARDO DE LA ESPRIELLA",17694,"exact",FALSE,-0.00254862970708655,"Did not vote Petro before"
"05036","Antioquia","Angelopolis","01","022","ANGELOPOLIS",0.143399998545647,FALSE,"federico_gutiérrez",0.18471986417657,FALSE,"ABELARDO DE LA ESPRIELLA",2945,"exact",FALSE,0.0413198656309238,"Did not vote Petro before"
"05038","Antioquia","Angostura","01","025","ANGOSTURA",0.106300003826618,FALSE,"federico_gutiérrez",0.152440687210254,FALSE,"ABELARDO DE LA ESPRIELLA",3667,"exact",FALSE,0.0461406833836354,"Did not vote Petro before"
"05040","Antioquia","Anori","01","028","ANORI",0.24940000474453,FALSE,"rodolfo_hernández",0.333507716453047,FALSE,"ABELARDO DE LA ESPRIELLA",3823,"exact",FALSE,0.0841077117085176,"Did not vote Petro before"
