scope_code,department_code,department,municipality,update_mdhm,advance_number,tables_total,tables_reported,tables_reported_pct,census_total,voters,voters_pct,abstention,abstention_pct,valid_votes,valid_votes_pct,blank_votes,blank_votes_pct,null_votes,null_votes_pct,unmarked_votes,unmarked_votes_pct,candidate_votes_total,candidate_votes_total_pct,party_code,party_name,party_color,candidate_code,sort_order,president,vice_president,votes,votes_pct
60010,60,AMAZONAS,EL ENCANTO,05311710,3,3,3,100%,760,271,"35,65%",489,"64,34%",270,"99,63%",0,0%,0,0%,1,"0,36%",270,100%,7,,,1,1,IVÁN CEPEDA CASTRO,AIDA MARINA QUILCUE VIVAS,216,"80,00%"
60010,60,AMAZONAS,EL ENCANTO,05311710,3,3,3,100%,760,271,"35,65%",489,"64,34%",270,"99,63%",0,0%,0,0%,1,"0,36%",270,100%,10,,,4,5,ABELARDO DE LA ESPRIELLA,JOSÉ MANUEL RESTREPO ABONDANO,37,"13,70%"
60010,60,AMAZONAS,EL ENCANTO,05311710,3,3,3,100%,760,271,"35,65%",489,"64,34%",270,"99,63%",0,0%,0,0%,1,"0,36%",270,100%,2,,,11,12,PALOMA VALENCIA LASERNA,JUAN DANIEL OVIEDO ARANGO,8,"2,96%"
60010,60,AMAZONAS,EL ENCANTO,05311710,3,3,3,100%,760,271,"35,65%",489,"64,34%",270,"99,63%",0,0%,0,0%,1,"0,36%",270,100%,11,,,2,3,CLAUDIA LÓPEZ,LEONARDO HUMBERTO HUERTA GUTIÉRREZ,3,"1,11%"
60010,60,AMAZONAS,EL ENCANTO,05311710,3,3,3,100%,760,271,"35,65%",489,"64,34%",270,"99,63%",0,0%,0,0%,1,"0,36%",270,100%,14,,,5,6,ÓSCAR MAURICIO LIZCANO ARANGO,PEDRO LUIS DE LA TORRE MARQUEZ,2,"0,74%"
60010,60,AMAZONAS,EL ENCANTO,05311710,3,3,3,100%,760,271,"35,65%",489,"64,34%",270,"99,63%",0,0%,0,0%,1,"0,36%",270,100%,4,,,6,7,MIGUEL URIBE LONDOÑO,LUISA FERNANDA VILLEGAS ARAQUE,1,"0,37%"
60010,60,AMAZONAS,EL ENCANTO,05311710,3,3,3,100%,760,271,"35,65%",489,"64,34%",270,"99,63%",0,0%,0,0%,1,"0,36%",270,100%,6,,,8,9,ROY LEONARDO BARRERAS MONTEALEGRE,MARTHA LUCÍA ZAMORA ÁVILA,1,"0,37%"
60010,60,AMAZONAS,EL ENCANTO,05311710,3,3,3,100%,760,271,"35,65%",489,"64,34%",270,"99,63%",0,0%,0,0%,1,"0,36%",270,100%,3,,,12,13,SERGIO FAJARDO VALDERRAMA,EDNA CRISTINA DEL SOCORRO BONILLA SEBA,1,"0,37%"
60010,60,AMAZONAS,EL ENCANTO,05311710,3,3,3,100%,760,271,"35,65%",489,"64,34%",270,"99,63%",0,0%,0,0%,1,"0,36%",270,100%,9,PARTIDO CENTRO DEMOCRÁTICO,#4BAFE7,7,8,SONDRA MACOLLINS GARVIN PINTO,LEONARDO KARAM HELO,1,"0,37%"
60010,60,AMAZONAS,EL ENCANTO,05311710,3,3,3,100%,760,271,"35,65%",489,"64,34%",270,"99,63%",0,0%,0,0%,1,"0,36%",270,100%,13,,,9,10,CARLOS EDUARDO CAICEDO OMAR,NELSON JAVIER ALARCÓN SUÁREZ,0,0%
