geo_id,departamento_id,municipio_id,department_key,municipality_key,departamento,municipio,total votantes,total votos reportados,siglas candidato ganador,votos candidato ganador,porcentaje de votos con los que gana
91263,91,263,amazonas,el encanto,AMAZONAS,el encanto,271,270,ICC,216,"80,00%"
91405,91,405,amazonas,la chorrera,AMAZONAS,la chorrera,587,583,ICC,544,"92,99%"
91407,91,407,amazonas,la pedrera,AMAZONAS,la pedrera,405,397,ICC,327,"81,75%"
91430,91,430,amazonas,pacoa,AMAZONAS,la victoria,29,28,ICC,28,"96,55%"
91001,91,001,amazonas,leticia,AMAZONAS,leticia,20991,20314,ICC,10415,"50,27%"
91460,91,460,amazonas,miriti parana,AMAZONAS,miriti-parana,96,94,ICC,89,"92,70%"
91530,91,530,amazonas,puerto alegria,AMAZONAS,puerto alegria,112,112,ICC,94,"83,92%"
91536,91,536,amazonas,puerto arica,AMAZONAS,puerto arica,190,190,ICC,163,"85,78%"
91540,91,540,amazonas,puerto narino,AMAZONAS,puerto narino,2243,2161,ICC,1629,"73,91%"
91669,91,669,amazonas,puerto santander,AMAZONAS,puerto santander,133,130,ICC,93,"70,45%"
91798,91,798,amazonas,tarapaca,AMAZONAS,tarapaca,500,469,ICC,356,"72,06%"
05002,05,002,antioquia,abejorral,ANTIOQUIA,abejorral,7590,7359,AE,4191,"56,08%"
05004,05,004,antioquia,abriaqui,ANTIOQUIA,abriaqui,1097,1061,AE,592,"54,96%"
05021,05,021,antioquia,alejandria,ANTIOQUIA,alejandria,2760,2694,AE,1811,"66,48%"
05030,05,030,antioquia,amaga,ANTIOQUIA,amaga,13229,12635,AE,6531,"50,37%"
05031,05,031,antioquia,amalfi,ANTIOQUIA,amalfi,6760,6425,AE,4087,"61,39%"
05034,05,034,antioquia,andes,ANTIOQUIA,andes,17719,17305,AE,10148,"57,82%"
05036,05,036,antioquia,angelopolis,ANTIOQUIA,angelopolis,2955,2834,AE,1619,"55,84%"
05038,05,038,antioquia,angostura,ANTIOQUIA,angostura,3667,3350,AE,1816,"52,21%"
05040,05,040,antioquia,anori,ANTIOQUIA,anori,3813,3615,AE,1811,"48,19%"
05042,05,042,antioquia,santa fe de antioquia,ANTIOQUIA,santafe de antioquia,12290,11742,AE,5907,"48,98%"
