"Municipality","unique_fields"
"ACACIAS",8
"AGUACHICA",9
"AGUAZUL",15
"AIPE",12
"ALVARADO",1
"ARAUCA",10
"ARAUQUITA",26
"ARIGUANI",3
"ASTREA",1
"BARAYA",2
"BARRANCA DE UPIA",5
"BARRANCABERMEJA",11
"BECERRIL",2
"BOLIVAR",1
"CABUYARO",25
"CAIMITO",1
"CANTAGALLO",2
"CASTILLA NUEVA",5
"CHAPARRAL",3
"CHIRIGUANA",4
"CICUCO",2
"CIMITARRA",6
"COELLO",1
"CORRALES",7
"CUCUTA",6
"DIBULLA",4
"EL CARMEN DE CHUCURI",2
"EL PASO",3
"ESPINAL",10
"FLANDES",2
"FONSECA",1
"FUENTE DE ORO",1
"GAMARRA",3
"GARZON",2
"GIGANTE",2
"GUADUAS",1
"GUAMAL",3
"GUAMO",2
"HATO COROZAL",1
"ICONONZO",1
"IPIALES",1
"LA ESPERANZA",1
"LA JAGUA IBIRICO",3
"LA UNION",1
"LOS PALMITOS",2
"MANAURE",6
"MANI",25
"MELGAR",3
"MOCOA",2
"MOMPOS",2
"MONTERREY",2
"MUNICIPIO NN",5
"MUNICIPIO NN CASANARE",5
"MUNICIPIO NN META",3
"MUNICIPIO NN PUTUMAYO",1
"MUNICIPIO NN SANTANDER",1
"NEIVA",12
"NUNCHIA",4
"ORITO",10
"OROCUE",60
"ORTEGA",7
"OVEJAS",2
"PAICOL",1
"PALERMO",4
"PAZ DE ARIPORO",30
"PENDIENTE CERTIFICADO IGAC",7
"PIAMONTE",4
"PIEDRAS",4
"PIJINO DEL CARMEN",1
"PLATO",1
"PONEDERA",1
"PORE",3
"PRADO",1
"PUEBLO NUEVO",6
"PUERTO ASIS",7
"PUERTO BOYACA",12
"PUERTO CAICEDO",6
"PUERTO GAITAN",49
"PUERTO GUZMÁN",1
"PUERTO LLERAS",2
"PUERTO LOPEZ",5
"PUERTO NARE",6
"PUERTO SALGAR",1
"PUERTO TRIUNFO",2
"PUERTO WILCHES",6
"PULI",1
"PURIFICACIÓN",4
"RIO DE ORO",12
"RIO NEGRO",1
"RIOHACHA",4
"RIONEGRO",6
"SABANA DE TORRES",20
"SABANALARGA",1
"SAHAGUN",8
"SAN ALBERTO",1
"SAN CAARLOS GUAROA",3
"SAN JOSE DE FRAGUA",1
"SAN LUIS",1
"SAN LUIS DE GACENO",1
"SAN LUIS DE PALENQUE",39
"SAN MARCOS",3
"SAN MARTÍN",13
"SAN MIGUEL",4
"SAN PEDRO",5
"SAN VICENTE DE CHUCURI",10
"SAN VICENTE DEL CAGUAN",1
"SANTA ANA",4
"SANTA ROSALIA",1
"SARAVENA",1
"SARDINATA",1
"SIMACOTA",1
"SINCE",2
"TALAIGUA NUEVO",2
"TAME",4
"TAURAMENA",30
"TELLO",2
"TESALIA",1
"TIBU",5
"TOPAGA",3
"TRINIDAD",22
"URIBIA",4
"VALLE DEL GUAMUEZ",4
"VILLA NUEVA",16
"VILLAGARZON",5
"VILLANUEVA",1
"VILLAVICENCIO",17
"VILLAVIEJA",2
"VISTA HERMOSA",4
"YACOPI",1
"YAGUARA",1
"YONDO",6
"YOPAL",24
