"","Year","Municipality","Mean_price_of_hydrocarbons_in_USD","Total_production_of_the_field_in_barrels_or_kilo_cubic_feet_by_municipality","Total_volume_of_royalties_liquidated_in_barrels_or_kilo_cubic_feet_by_municipality","Total_royalties_liquidated_in_COP_pesos_by_municipality","Production_Years","Production_2010_2019","Opening","Closing","drop_during_crisis","Production_pause","Unique_oil_field_by_municipality"
"1",2010,"ACACIAS",63.164225433526,21431430,1689252.3,202999267479.5,10,1,"","2021","0","1",8
"2",2010,"AGUACHICA",66.39025,31708,6259.3,787699477.4,10,1,"","2021","0","1",9
"3",2010,"AGUAZUL",40.4935802568218,51641262,9636050.4,463582931484.1,10,1,"","2021","0","1",15
"4",2010,"AIPE",51.2732185185185,8153709,1064954.5,96422624893.2,10,1,"","2021","1","1",12
"5",2010,"ALVARADO",65.22,27203,5440.6,667449449.8,10,1,"","2021","0","1",1
"6",2010,"ARAUCA",66.5487394957983,17732811,3537787.3,446484006516.1,10,1,"","2021","1","1",10
"7",2010,"ARAUQUITA",66.5009193548387,10895313,1027016.3,129364520463.4,10,1,"","2021","1","1",26
"8",2010,"BARAYA",65.1775,72148,11543.8,1424909390.9,10,1,"","2020","1","1",2
"9",2010,"BARRANCA DE UPIA",45.8469230769231,2658553,212032,25632103023.9,10,1,"","2021","1","1",5
"10",2010,"BARRANCABERMEJA",47.2736148148148,10784706,1413965.9,164641233588.5,10,1,"","2021","1","1",11
"11",2010,"BOLIVAR",71.75,6008,360.5,48227869.4,10,1,"","","1","1",1
"12",2010,"CABUYARO",49.5387090909091,8069676,768704,93413988905.6,10,1,"","2021","1","1",25
"13",2010,"CANTAGALLO",32.38375,4028618,625805,63202302860.1,10,1,"","2021","0","1",2
"14",2010,"CASTILLA NUEVA",63.3169444444444,22237960,2075007.1,249479987048.3,10,1,"","2021","1","1",5
"15",2010,"CHAPARRAL",65.2666666666667,40432,8086.4,993204495.4,10,1,"","2021","1","1",3
"16",2010,"CHIRIGUANA",2.881,24,4.8,26939.2,10,1,"","2021","0","1",4
"17",2010,"CICUCO",74.78,53278,10655.6,1510928023.7,10,1,"","2021","0","1",2
"18",2010,"CIMITARRA",50.1433035714286,410706,81584.7,823907337.1,10,1,"","2021","1","1",6
"19",2010,"COELLO",74.988,5199,415.9,58010372.1,5,0,"","2014","1","0",1
"20",2010,"CORRALES",56.0120666666667,7184,574.9,65120615.5,10,1,"","2021","1","1",7
"21",2010,"CUCUTA",58.6456220779221,836895,145593,11831772169,10,1,"","2021","0","1",6
"22",2010,"DIBULLA",3.369625,13263244,2652648.8,16894344746.3,10,1,"","2021","1","1",4
"23",2010,"EL CARMEN DE CHUCURI",68.91,16102,3220.4,417515253.8,10,1,"","","1","1",2
"24",2010,"ESPINAL",42.2746875,763797,37620.3,4364998833.1,10,1,"","2021","1","1",10
"25",2010,"FLANDES",37.5095769230769,9985,489,56153882.5,10,1,"","2021","1","1",2
"26",2010,"GARZON",62.0539230769231,709962,141992.4,17593140340,10,1,"","2021","1","1",2
"27",2010,"GIGANTE",62.0539230769231,159808,31961.6,3723549889.3,10,1,"","2021","1","1",2
"28",2010,"GUADUAS",44.0888888888889,540846,108169.2,6076137370.3,10,1,"","2021","1","1",1
"29",2010,"GUAMAL",60.6547894736842,1404948,84980.6,10254109452.3,10,1,"","2021","0","1",3
"30",2010,"ICONONZO",66.36,148918,7446.1,928598978.1,10,1,"","2021","1","1",1
"31",2010,"IPIALES",66.9025,370386,74077.2,9430491452,10,1,"","2021","0","1",1
"32",2010,"LA ESPERANZA",66.05,29606,5921.2,742008168.2,10,1,"","","1","1",1
"33",2010,"LA JAGUA IBIRICO",2.881,28,5.6,31429.1,10,1,"","2021","1","1",3
"34",2010,"LOS PALMITOS",36.9768333333333,5607216,359563,3010361615.2,10,1,"","2021","1","1",2
"35",2010,"MANAURE",3.38358571428571,119731784,23946356.8,152653418668.5,10,1,"","2021","1","1",6
"36",2010,"MANI",53.7096875,4294129,476218,56912549853.8,10,1,"","2021","1","1",25
"37",2010,"MELGAR",66.36,5391857,368365.5,45930743696.7,10,1,"","2021","1","1",3
"38",2010,"MOCOA",64.5475,80927,16185.4,1976227120,10,1,"","2021","0","1",2
"39",2010,"MOMPOS",69.2493076923077,1260,252,29251562.7,10,1,"","2021","0","1",2
"40",2010,"MONTERREY",76.805,150266,12021.2,1735710742.9,10,1,"","2021","1","1",2
"41",2010,"MUNICIPIO NN",43.4866666666667,213421,12859.3,879633575,10,1,"","2021","1","1",5
"42",2010,"NEIVA",53.0959576271186,7639868,1144577.2,136875566122.2,10,1,"","2021","1","1",12
"43",2010,"NUNCHIA",61.43075,31457,6291.4,636260859.6,10,1,"","2021","1","1",4
"44",2010,"ORITO",66.7158181818182,2932964,386347.3,48970367533.9,10,1,"","2021","0","1",10
"45",2010,"OROCUE",64.460258302583,5920896,801782.8,99723447411.8,10,1,"","2021","1","1",60
"46",2010,"ORTEGA",52.1887037037037,2719091,289282.1,13606373304.5,10,1,"","2021","1","1",7
"47",2010,"PAICOL",61.7008461538462,719086,63179.6,6569773603.2,10,1,"","2021","0","1",1
"48",2010,"PALERMO",38.0737233009709,2326666,391979.9,42881477197.7,10,1,"","2021","1","1",4
