"Municipio","Anio","ProduccionTotal","NumeroCampos","DiferenciaCampos"
"ACACIAS",2010,14612,1,0
"ACACIAS",2013,44464,2,1
"ACACIAS",2014,621219,3,2
"ACACIAS",2015,2557952,3,2
"ACACIAS",2016,1769075,3,2
"ACACIAS",2017,2353730.66,6,5
"ACACIAS",2018,1348678.79,3,2
"ACACIAS",2019,487077.68,3,2
"ACACIAS",2020,803393.07,3,2
"ACACIAS",2021,710444.28,3,2
"AGUACHICA",2014,53541,4,0
"AGUACHICA",2015,1243153,4,0
"AGUACHICA",2016,1042611,5,1
"AGUACHICA",2017,1830912.2,9,5
"AGUACHICA",2018,1981441.33,6,2
"AGUACHICA",2019,1868255.74,5,1
"AGUACHICA",2020,1799865.97,5,1
"AGUACHICA",2021,854208.21,6,2
"AGUAZUL",2010,33365522,5,0
"AGUAZUL",2011,40776550,7,2
"AGUAZUL",2012,31864289,8,3
"AGUAZUL",2013,52461911,9,4
"AGUAZUL",2014,69377343,10,5
"AGUAZUL",2015,71764893,10,5
"AGUAZUL",2016,76665719,8,3
"AGUAZUL",2017,69098776.81,10,5
"AGUAZUL",2018,83560575.53,7,2
"AGUAZUL",2019,119809922.57,8,3
"AGUAZUL",2020,127786230.12,7,2
"AGUAZUL",2021,66077509.7099999,6,1
"AIPE",2010,1895866,8,0
"AIPE",2011,2003516,6,-2
"AIPE",2012,3054604,9,1
"AIPE",2013,3996839,7,-1
"AIPE",2014,4169924,7,-1
"AIPE",2015,3012063,9,1
"AIPE",2016,2197650,9,1
"AIPE",2017,1556938.07,12,4
"AIPE",2018,916177.49,10,2
"AIPE",2019,1087998,10,2
"AIPE",2020,869059.67,10,2
"AIPE",2021,365891.03,10,2
"ALVARADO",2014,13383,1,0
"ALVARADO",2015,31722,1,0
"ALVARADO",2016,12038,1,0
"ALVARADO",2017,1539,1,0
"ALVARADO",2018,861.3,1,0
"ALVARADO",2019,14947.2,1,0
"ALVARADO",2020,6941.04,1,0
"ALVARADO",2021,8076.7,1,0
"ARAUCA",2015,658663,5,0
"ARAUCA",2016,506183,6,1
"ARAUCA",2017,328868.21,10,5
"ARAUCA",2018,429621.2,8,3
"ARAUCA",2019,508612.26,8,3
"ARAUCA",2020,388382.13,6,1
"ARAUCA",2021,203179.69,6,1
"ARAUQUITA",2010,64382,1,0
"ARAUQUITA",2014,188877,5,4
"ARAUQUITA",2015,522545,12,11
"ARAUQUITA",2016,183503,10,9
"ARAUQUITA",2017,50169.69,23,22
"ARAUQUITA",2018,34824.08,10,9
"ARAUQUITA",2019,209682.92,13,12
"ARAUQUITA",2020,216962.47,13,12
"ARAUQUITA",2021,90421.23,13,12
"ARIGUANI",2014,13005,1,0
"ARIGUANI",2015,2872497,1,0
"ARIGUANI",2016,4497252,1,0
"ARIGUANI",2017,6132330.87,1,0
"ARIGUANI",2018,4445991.34,1,0
"ARIGUANI",2019,4983165.91,1,0
"ARIGUANI",2020,3770222.74,2,1
"ARIGUANI",2021,1649555.89,2,1
"ASTREA",2016,615380,1,0
"ASTREA",2017,1291549.11,1,0
"ASTREA",2018,973181.02,1,0
"ASTREA",2019,1073775.94,1,0
"ASTREA",2020,903769.41,1,0
"ASTREA",2021,580402.84,1,0
"BARRANCA DE UPIA",2010,40781,3,0
"BARRANCA DE UPIA",2011,68146,3,0
"BARRANCA DE UPIA",2012,81062,3,0
"BARRANCA DE UPIA",2013,164005,2,-1
"BARRANCA DE UPIA",2014,117453,4,1
"BARRANCA DE UPIA",2015,84264,3,0
"BARRANCA DE UPIA",2016,59064,2,-1
"BARRANCA DE UPIA",2017,94345.7,5,2
"BARRANCA DE UPIA",2018,107442.17,3,0
"BARRANCA DE UPIA",2019,56686.34,3,0
"BARRANCA DE UPIA",2020,36845.23,3,0
"BARRANCA DE UPIA",2021,20122.52,2,-1
"BARRANCABERMEJA",2010,975903,4,0
"BARRANCABERMEJA",2011,1186272,4,0
"BARRANCABERMEJA",2012,1658807,5,1
"BARRANCABERMEJA",2013,2117922,5,1
"BARRANCABERMEJA",2014,2370040,5,1
"BARRANCABERMEJA",2015,1936956,4,0
"BARRANCABERMEJA",2016,1538340,5,1
"BARRANCABERMEJA",2017,1367507.72,9,5
"BARRANCABERMEJA",2018,1257947.96,5,1
"BARRANCABERMEJA",2019,1329435.81,3,-1
"BARRANCABERMEJA",2020,1169634.33,3,-1
"BARRANCABERMEJA",2021,1210770.71,3,-1
"BECERRIL",2011,736,2,0
"BECERRIL",2013,2730,2,0
"BECERRIL",2014,61,1,-1
"BECERRIL",2015,6,1,-1
"BECERRIL",2017,0,2,0
