"Municipio","Anio","ProduccionTotal","NumeroCampos","DiferenciaCampos"
"ACACIAS",2010,21416818,7,0
"ACACIAS",2011,26469800,7,0
"ACACIAS",2012,31544339,6,-1
"ACACIAS",2013,33886988,6,-1
"ACACIAS",2014,34673319,7,0
"ACACIAS",2015,41954832,6,-1
"ACACIAS",2016,38263321,6,-1
"ACACIAS",2017,37699316.06,8,1
"ACACIAS",2018,37322373.77,6,-1
"ACACIAS",2019,40935874.89,6,-1
"ACACIAS",2020,38191424,6,-1
"ACACIAS",2021,18051825.42,6,-1
"AGUACHICA",2010,31708,4,0
"AGUACHICA",2011,32863,4,0
"AGUACHICA",2012,31242,5,1
"AGUACHICA",2013,114952,7,3
"AGUACHICA",2014,230712,6,2
"AGUACHICA",2015,318953,4,0
"AGUACHICA",2016,99816,6,2
"AGUACHICA",2017,165381.6,9,5
"AGUACHICA",2018,254763.1,7,3
"AGUACHICA",2019,220437.16,6,2
"AGUACHICA",2020,109950.08,4,0
"AGUACHICA",2021,65776.93,4,0
"AGUAZUL",2010,18275740,7,0
"AGUAZUL",2011,18101859,8,1
"AGUAZUL",2012,15971243,10,3
"AGUAZUL",2013,13159466,9,2
"AGUAZUL",2014,11870672,11,4
"AGUAZUL",2015,9794029,11,4
"AGUAZUL",2016,9505700,10,3
"AGUAZUL",2017,8829535.92,9,2
"AGUAZUL",2018,7879610.93,8,1
"AGUAZUL",2019,7137966.23000001,8,1
"AGUAZUL",2020,5376907.27,8,1
"AGUAZUL",2021,2397841.95,8,1
"AIPE",2010,6257843,10,0
"AIPE",2011,6395097,11,1
"AIPE",2012,6009699,11,1
"AIPE",2013,5554695,10,0
"AIPE",2014,5354118,9,-1
"AIPE",2015,4844632,9,-1
"AIPE",2016,4244077,9,-1
"AIPE",2017,3739484.21,11,1
"AIPE",2018,3487634.1,10,0
"AIPE",2019,3496809.92,10,0
"AIPE",2020,3127530.71,10,0
"AIPE",2021,1382939.11,10,0
"ALVARADO",2010,27203,1,0
"ALVARADO",2011,66286,1,0
"ALVARADO",2012,48176,1,0
"ALVARADO",2013,41950,1,0
"ALVARADO",2014,46188,1,0
"ALVARADO",2015,44352,1,0
"ALVARADO",2016,53922,1,0
"ALVARADO",2017,10404.46,1,0
"ALVARADO",2018,20081.24,1,0
"ALVARADO",2019,50227.4,1,0
"ALVARADO",2020,19270.84,1,0
"ALVARADO",2021,12005.42,1,0
"ARAUCA",2010,17732811,6,0
"ARAUCA",2011,16087139,7,1
"ARAUCA",2012,14664610,7,1
"ARAUCA",2013,12643533,6,0
"ARAUCA",2014,10741471,5,-1
"ARAUCA",2015,12889772,5,-1
"ARAUCA",2016,11817697,6,0
"ARAUCA",2017,10591653.06,10,4
"ARAUCA",2018,10917203.91,8,2
"ARAUCA",2019,10470598.25,8,2
"ARAUCA",2020,9221277.22000001,6,0
"ARAUCA",2021,4515610.67,6,0
"ARAUQUITA",2010,10830931,12,0
"ARAUQUITA",2011,9462825,14,2
"ARAUQUITA",2012,8260919,14,2
"ARAUQUITA",2013,8581759,15,3
"ARAUQUITA",2014,6963495,13,1
"ARAUQUITA",2015,5987756,12,0
"ARAUQUITA",2016,4994172,12,0
"ARAUQUITA",2017,4938349.79,20,8
"ARAUQUITA",2018,5281648.11,17,5
"ARAUQUITA",2019,7392206.75,19,7
"ARAUQUITA",2020,8783262.21,18,6
"ARAUQUITA",2021,4090073.76,18,6
"ARIGUANI",2011,1821,1,0
"ARIGUANI",2012,969,1,0
"ARIGUANI",2014,313,1,0
"ARIGUANI",2015,41247,1,0
"ARIGUANI",2016,57451,1,0
"ARIGUANI",2017,81989.57,1,0
"ARIGUANI",2018,54915.5,1,0
"ARIGUANI",2019,53008.08,1,0
"ARIGUANI",2020,35174.39,1,0
"ARIGUANI",2021,10233.82,1,0
"BARAYA",2010,72148,1,0
"BARAYA",2011,59380,1,0
"BARAYA",2012,68470,1,0
"BARAYA",2013,168752,1,0
"BARAYA",2014,36488,1,0
"BARAYA",2015,38542,1,0
"BARAYA",2016,51460,1,0
"BARAYA",2017,53106.18,1,0
"BARAYA",2018,51151,1,0
"BARAYA",2019,43609.5,1,0
"BARAYA",2020,44282.82,1,0
"BARRANCA DE UPIA",2010,2617772,3,0
"BARRANCA DE UPIA",2011,1334924,3,0
"BARRANCA DE UPIA",2012,729138,3,0
"BARRANCA DE UPIA",2013,478560,3,0
"BARRANCA DE UPIA",2014,391751,5,2
"BARRANCA DE UPIA",2015,905955,4,1
"BARRANCA DE UPIA",2016,250511,3,0
