id;Departamento;Código del municipio;Municipio;Código SIC;Nombre del recurso;Estado del recurso;Clasificación;Tipo de generación;Tipo de despacho;Combustible por defecto;Capacidad efectiva neta [MW];Factor de conversión;¿Es menor?;Agente representante;Fecha de operación (fpo);Año de puesta en operación (fpo);Fecha;x;y
18;ANTIOQUIA;05101;CIUDAD BOLÍVAR;5ISN;GD CSF ARENALES I;OPERACIÓN;GEN. DISTRIBUIDA;Solar;ND;RAD SOLAR;1;0,00;SI;GENERADORA CANTAYÚS S.A.S E.S.P;19/3/2026;2026;22/7/2026;4666840,77;2204293,306
40;ANTIOQUIA;05380;LA ESTRELLA;3F5L;AUTOG CI JEANS;PRUEBAS;AUTOGENERADOR;Solar;ND;RAD SOLAR;1;0,00;NO;ERCO GENERACION S.A.S. ESP;23/8/2023;2023;22/7/2026;4706940,567;2236918,81
44;ANTIOQUIA;05001;MEDELLÍN;3HG7;COMUNIDAD EL SALVADOR I;OPERACIÓN;GEN. DISTRIBUIDA;Solar;ND;RAD SOLAR;0;0,00;SI;ERCO GENERACION S.A.S. ESP;23/3/2023;2023;22/7/2026;4711193,609;2250169,715
45;ANTIOQUIA;05001;MEDELLÍN;3HG9;COMUNIDAD EL SALVADOR II;OPERACIÓN;GEN. DISTRIBUIDA;Solar;ND;RAD SOLAR;0;0,00;SI;ERCO GENERACION S.A.S. ESP;23/3/2023;2023;22/7/2026;4711193,609;2250169,715
56;ANTIOQUIA;05615;RIONEGRO;5IT1;GD ALAMO SOLAR;OPERACIÓN;GEN. DISTRIBUIDA;Solar;ND;RAD SOLAR;1;0,00;SI;ERCO GENERACION S.A.S. ESP;29/1/2026;2026;22/7/2026;4733305,914;2238252,731
57;ANTIOQUIA;05615;RIONEGRO;3F5N;AUTOG PINTUCO;PRUEBAS;AUTOGENERADOR;Solar;ND;RAD SOLAR;1;0,00;NO;ERCO GENERACION S.A.S. ESP;22/8/2023;2023;22/7/2026;4733305,914;2238252,731
84;ANTIOQUIA;05837;TURBO;5SHV;GD PIEDECUESTA I;PRUEBAS;GEN. DISTRIBUIDA;Solar;ND;RAD SOLAR;1;0,00;SI;DEPI ENERGY S.A.S. E.S.P.;8/7/2026;2026;22/7/2026;4606222,755;2462971,445
85;ANTIOQUIA;05837;TURBO;5SHN;GD PIEDECUESTA II;PRUEBAS;GEN. DISTRIBUIDA;Solar;ND;RAD SOLAR;1;0,00;SI;DEPI ENERGY S.A.S. E.S.P.;8/7/2026;2026;22/7/2026;4606222,755;2462971,445
93;ARAUCA;81001;ARAUCA;5F43;ALMA II;OPERACIÓN;NORMAL;Solar;ND;RAD SOLAR;10;0,00;SI;DEPI ENERGY S.A.S. E.S.P.;22/12/2025;2025;22/7/2026;5275233,156;2309689,883
111;ATLÁNTICO;08078;BARANOA;5G3T;PARQUE SOLAR NISPEROS;OPERACIÓN;NORMAL;Solar;ND;RAD SOLAR;20;0,00;SI;FOTOVOLTAICO EL YARUMO SAS ESP;9/4/2026;2026;22/7/2026;4789914,153;2751355,813
112;ATLÁNTICO;08078;BARANOA;5G3S;PARQUE SOLAR BUGAMBILES;OPERACIÓN;NORMAL;Solar;ND;RAD SOLAR;10;0,00;SI;FOTOVOLTAICO EL YARUMO SAS ESP;5/3/2026;2026;22/7/2026;4789914,153;2751355,813
113;ATLÁNTICO;08078;BARANOA;4RGG;PARQUE SOLAR BARANOA;OPERACIÓN;NORMAL;Solar;ND;RAD SOLAR;20;0,00;SI;FOTOVOLTAICO EL YARUMO SAS ESP;29/4/2025;2025;22/7/2026;4789914,153;2751355,813
114;ATLÁNTICO;08141;CANDELARIA;5MAE;GD BONILLA A I;OPERACIÓN;GEN. DISTRIBUIDA;Solar;ND;RAD SOLAR;1;0,00;SI;OTACC GENERACION S.A.S. E.S.P.;16/3/2026;2026;22/7/2026;4794589,814;2717679,006
115;ATLÁNTICO;08141;CANDELARIA;5MAG;GD BONILLA A II;OPERACIÓN;GEN. DISTRIBUIDA;Solar;ND;RAD SOLAR;1;0,00;SI;OTACC GENERACION S.A.S. E.S.P.;16/3/2026;2026;22/7/2026;4794589,814;2717679,006
116;ATLÁNTICO;08141;CANDELARIA;5MAD;GD BONILLA A III;OPERACIÓN;GEN. DISTRIBUIDA;Solar;ND;RAD SOLAR;1;0,00;SI;OTACC GENERACION S.A.S. E.S.P.;16/3/2026;2026;22/7/2026;4794589,814;2717679,006
117;ATLÁNTICO;08141;CANDELARIA;5MAF;GD BONILLA A V;OPERACIÓN;GEN. DISTRIBUIDA;Solar;ND;RAD SOLAR;1;0,00;SI;OTACC GENERACION S.A.S. E.S.P.;16/3/2026;2026;22/7/2026;4794589,814;2717679,006
118;ATLÁNTICO;08141;CANDELARIA;5MAH;GD BONILLA A IV;OPERACIÓN;GEN. DISTRIBUIDA;Solar;ND;RAD SOLAR;1;0,00;SI;OTACC GENERACION S.A.S. E.S.P.;16/3/2026;2026;22/7/2026;4794589,814;2717679,006
119;ATLÁNTICO;08433;MALAMBO;3INX;CARACOLI I;OPERACIÓN;NORMAL;Solar;DC;RAD SOLAR;50;0,00;NO;SOL DE LAS CIÉNAGAS S.A.S. E.S.P.;21/12/2024;2024;22/7/2026;4802634,328;2757360,138
120;ATLÁNTICO;08421;LURUACO;3HYG;URUACO;OPERACIÓN;GEN. DISTRIBUIDA;Solar;ND;RAD SOLAR;1;0,00;SI;UNERGY ENERGY DIGITAL S.A.S E.S.P;17/6/2023;2023;22/7/2026;4764442,692;2734021,724
122;ATLÁNTICO;08296;GALAPA;3RGX;JUMI;PRUEBAS;NORMAL;Solar;ND;RAD SOLAR;10;0,00;SI;VATIA S.A. E.S.P.;5/12/2024;2024;22/7/2026;4793823,802;2762880,182
123;ATLÁNTICO;08296;GALAPA;4XUX;GD PULOY;OPERACIÓN;GEN. DISTRIBUIDA;Solar;ND;RAD SOLAR;1;0,00;SI;UNERGY ENERGY DIGITAL S.A.S E.S.P;24/9/2025;2025;22/7/2026;4793823,802;2762880,182
124;ATLÁNTICO;08685;SANTO TOMÁS;3NU4;GD FINCA JM;OPERACIÓN;GEN. DISTRIBUIDA;Solar;ND;RAD SOLAR;1;0,00;SI;GREENYELLOW COMERCIALIZADORA S.A.S. E.S.P.;15/9/2024;2024;22/7/2026;4804630,953;2747095,423
127;ATLÁNTICO;08758;SOLEDAD;5F3Z;GD CADILLO II;OPERACIÓN;GEN. DISTRIBUIDA;Solar;ND;RAD SOLAR;1;0,00;SI;OTACC GENERACION S.A.S. E.S.P.;10/11/2025;2025;22/7/2026;4805705,791;2763823,924
128;ATLÁNTICO;08758;SOLEDAD;5F41;GD CARACOL I;OPERACIÓN;GEN. DISTRIBUIDA;Solar;ND;RAD SOLAR;1;0,00;SI;OTACC GENERACION S.A.S. E.S.P.;10/11/2025;2025;22/7/2026;4805705,791;2763823,924
129;ATLÁNTICO;08758;SOLEDAD;5F3Y;GD CARACOL II;OPERACIÓN;GEN. DISTRIBUIDA;Solar;ND;RAD SOLAR;1;0,00;SI;OTACC GENERACION S.A.S. E.S.P.;10/11/2025;2025;22/7/2026;4805705,791;2763823,924
130;ATLÁNTICO;08758;SOLEDAD;5F3X;GD CARACOL III;OPERACIÓN;GEN. DISTRIBUIDA;Solar;ND;RAD SOLAR;1;0,00;SI;OTACC GENERACION S.A.S. E.S.P.;10/11/2025;2025;22/7/2026;4805705,791;2763823,924
