"Country","Departamento","Municipio","value","year","variable","sector"
"1 - Colombia","05 - Antioquia","05001 - Medellín",70157,2011,"NumeroTotalEmpleados","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1 - Colombia","05 - Antioquia","05002 - Abejorral",5735,2011,"NumeroTotalEmpleados","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1 - Colombia","05 - Antioquia","05004 - Abriaquí",NA,2011,"NumeroTotalEmpleados","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1 - Colombia","05 - Antioquia","05021 - Alejandría",114,2011,"NumeroTotalEmpleados","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1 - Colombia","05 - Antioquia","05030 - Amagá",8590,2011,"NumeroTotalEmpleados","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1 - Colombia","05 - Antioquia","05031 - Amalfi",1820,2011,"NumeroTotalEmpleados","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1 - Colombia","05 - Antioquia","05034 - Andes",478,2011,"NumeroTotalEmpleados","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1 - Colombia","05 - Antioquia","05036 - Angelópolis",432,2011,"NumeroTotalEmpleados","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1 - Colombia","05 - Antioquia","05038 - Angostura",66,2011,"NumeroTotalEmpleados","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1 - Colombia","05 - Antioquia","05040 - Anorí",NA,2011,"NumeroTotalEmpleados","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1 - Colombia","05 - Antioquia","05042 - Santafé De Antioquia",2833,2011,"NumeroTotalEmpleados","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1 - Colombia","05 - Antioquia","05044 - Anza",1799,2011,"NumeroTotalEmpleados","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1 - Colombia","05 - Antioquia","05045 - Apartadó",5,2011,"NumeroTotalEmpleados","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1 - Colombia","05 - Antioquia","05051 - Arboletes",NA,2011,"NumeroTotalEmpleados","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1 - Colombia","05 - Antioquia","05055 - Argelia",NA,2011,"NumeroTotalEmpleados","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1 - Colombia","05 - Antioquia","05059 - Armenia",NA,2011,"NumeroTotalEmpleados","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1 - Colombia","05 - Antioquia","05079 - Barbosa",29,2011,"NumeroTotalEmpleados","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1 - Colombia","05 - Antioquia","05086 - Belmira",NA,2011,"NumeroTotalEmpleados","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1 - Colombia","05 - Antioquia","05088 - Bello",302,2011,"NumeroTotalEmpleados","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1 - Colombia","05 - Antioquia","05091 - Betania",NA,2011,"NumeroTotalEmpleados","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1 - Colombia","05 - Antioquia","05093 - Betulia",1624,2011,"NumeroTotalEmpleados","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1 - Colombia","05 - Antioquia","05101 - Ciudad Bolívar",NA,2011,"NumeroTotalEmpleados","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1 - Colombia","05 - Antioquia","05107 - Briceño",NA,2011,"NumeroTotalEmpleados","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1 - Colombia","05 - Antioquia","05113 - Buriticá",NA,2011,"NumeroTotalEmpleados","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1 - Colombia","05 - Antioquia","05120 - Cáceres",NA,2011,"NumeroTotalEmpleados","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1 - Colombia","05 - Antioquia","05125 - Caicedo",NA,2011,"NumeroTotalEmpleados","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1 - Colombia","05 - Antioquia","05129 - Caldas",2368,2011,"NumeroTotalEmpleados","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1 - Colombia","05 - Antioquia","05134 - Campamento",NA,2011,"NumeroTotalEmpleados","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1 - Colombia","05 - Antioquia","05138 - Cañasgordas",NA,2011,"NumeroTotalEmpleados","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1 - Colombia","05 - Antioquia","05142 - Caracolí",NA,2011,"NumeroTotalEmpleados","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1 - Colombia","05 - Antioquia","05145 - Caramanta",394,2011,"NumeroTotalEmpleados","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
