"","Measures","Edad","Sexo","Hierarchy","value"
"1","Numero Total Empleados","30","FEMENINO","2019/01/02",82
"2","Numero Total Empleados","43","FEMENINO","2019/01/02",82
"3","Numero Total Empleados","44","FEMENINO","2019/01/02",82
"4","Numero Total Empleados","35","MASCULINO","2019/01/02",82
"5","Numero Total Empleados","41","MASCULINO","2019/01/02",82
"6","Numero Total Empleados","46","MASCULINO","2019/01/02",82
"7","Numero Total Empleados","51","MASCULINO","2019/01/02",82
"8","Numero Total Empleados","23","FEMENINO","2019/01/03",41
"9","Numero Total Empleados","25","FEMENINO","2019/01/03",23
"10","Numero Total Empleados","28","FEMENINO","2019/01/03",69
"11","Numero Total Empleados","30","FEMENINO","2019/01/03",69
"12","Numero Total Empleados","32","FEMENINO","2019/01/03",23
"13","Numero Total Empleados","38","FEMENINO","2019/01/03",5
"14","Numero Total Empleados","44","FEMENINO","2019/01/03",69
"15","Numero Total Empleados","50","FEMENINO","2019/01/03",18
"16","Numero Total Empleados","53","FEMENINO","2019/01/03",18
"17","Numero Total Empleados","57","FEMENINO","2019/01/03",18
"18","Numero Total Empleados","22","MASCULINO","2019/01/03",23
"19","Numero Total Empleados","23","MASCULINO","2019/01/03",23
"20","Numero Total Empleados","24","MASCULINO","2019/01/03",23
"21","Numero Total Empleados","26","MASCULINO","2019/01/03",69
"22","Numero Total Empleados","27","MASCULINO","2019/01/03",23
"23","Numero Total Empleados","28","MASCULINO","2019/01/03",23
"24","Numero Total Empleados","30","MASCULINO","2019/01/03",18
"25","Numero Total Empleados","37","MASCULINO","2019/01/03",5
"26","Numero Total Empleados","38","MASCULINO","2019/01/03",18
"27","Numero Total Empleados","39","MASCULINO","2019/01/03",18
"28","Numero Total Empleados","40","MASCULINO","2019/01/03",5
"29","Numero Total Empleados","41","MASCULINO","2019/01/03",69
"30","Numero Total Empleados","42","MASCULINO","2019/01/03",19
"31","Numero Total Empleados","46","MASCULINO","2019/01/03",18
"32","Numero Total Empleados","47","MASCULINO","2019/01/03",18
"33","Numero Total Empleados","50","MASCULINO","2019/01/03",18
"34","Numero Total Empleados","51","MASCULINO","2019/01/03",18
"35","Numero Total Empleados","52","MASCULINO","2019/01/03",18
"36","Numero Total Empleados","61","MASCULINO","2019/01/03",18
"37","Numero Total Empleados","66","MASCULINO","2019/01/03",18
"38","Numero Total Empleados","29","FEMENINO","2019/01/04",17
"39","Numero Total Empleados","54","FEMENINO","2019/01/04",17
"40","Numero Total Empleados","25","MASCULINO","2019/01/04",17
"41","Numero Total Empleados","26","MASCULINO","2019/01/04",17
"42","Numero Total Empleados","28","MASCULINO","2019/01/04",56
"43","Numero Total Empleados","33","MASCULINO","2019/01/04",56
"44","Numero Total Empleados","34","MASCULINO","2019/01/04",17
"45","Numero Total Empleados","35","MASCULINO","2019/01/04",17
"46","Numero Total Empleados","37","MASCULINO","2019/01/04",17
"47","Numero Total Empleados","39","MASCULINO","2019/01/04",3
"48","Numero Total Empleados","40","MASCULINO","2019/01/04",17
"49","Numero Total Empleados","43","MASCULINO","2019/01/04",56
"50","Numero Total Empleados","46","MASCULINO","2019/01/04",56
"51","Numero Total Empleados","53","MASCULINO","2019/01/04",17
"52","Numero Total Empleados","58","MASCULINO","2019/01/04",17
"53","Numero Total Empleados","61","MASCULINO","2019/01/04",3
"54","Numero Total Empleados","62","MASCULINO","2019/01/04",17
"55","Numero Total Empleados","22","FEMENINO","2019/01/08",9
"56","Numero Total Empleados","25","FEMENINO","2019/01/08",9
"57","Numero Total Empleados","27","FEMENINO","2019/01/08",9
"58","Numero Total Empleados","28","FEMENINO","2019/01/08",13
"59","Numero Total Empleados","30","FEMENINO","2019/01/08",9
"60","Numero Total Empleados","32","FEMENINO","2019/01/08",431
"61","Numero Total Empleados","46","FEMENINO","2019/01/08",11
"62","Numero Total Empleados","59","FEMENINO","2019/01/08",11
"63","Numero Total Empleados","61","FEMENINO","2019/01/08",11
"64","Numero Total Empleados","76","FEMENINO","2019/01/08",11
"65","Numero Total Empleados","26","MASCULINO","2019/01/08",22
"66","Numero Total Empleados","28","MASCULINO","2019/01/08",9
"67","Numero Total Empleados","29","MASCULINO","2019/01/08",11
"68","Numero Total Empleados","32","MASCULINO","2019/01/08",19
"69","Numero Total Empleados","34","MASCULINO","2019/01/08",13
"70","Numero Total Empleados","35","MASCULINO","2019/01/08",13
"71","Numero Total Empleados","36","MASCULINO","2019/01/08",13
"72","Numero Total Empleados","37","MASCULINO","2019/01/08",13
"73","Numero Total Empleados","38","MASCULINO","2019/01/08",13
"74","Numero Total Empleados","49","MASCULINO","2019/01/08",13
"75","Numero Total Empleados","56","MASCULINO","2019/01/08",13
"76","Numero Total Empleados","57","MASCULINO","2019/01/08",24
"77","Numero Total Empleados","59","MASCULINO","2019/01/08",13
"78","Numero Total Empleados","72","MASCULINO","2019/01/08",11
