"","Measures","Edad","Sexo","Hierarchy","Etnia","Municipio","value"
"1","Número de Cotizantes",198,"NR - NO REPORTADO","2019/07/19","NO REPORTADO","NR - NO REPORTADO",1
"2","Número de Cotizantes",198,"NR - NO REPORTADO","2019/08/22","NO REPORTADO","NR - NO REPORTADO",1
"3","Número de Cotizantes",198,"NR - NO REPORTADO","2019/09/19","NO REPORTADO","NR - NO REPORTADO",1
"4","Número de Cotizantes",28,"MASCULINO","2019/01/03","NO REPORTADO","-1 - No Definido",1
"5","Número de Cotizantes",26,"MASCULINO","2019/01/04","NO REPORTADO","-1 - No Definido",1
"6","Número de Cotizantes",28,"MASCULINO","2019/01/04","NO REPORTADO","-1 - No Definido",1
"7","Número de Cotizantes",32,"FEMENINO","2019/01/08","NO REPORTADO","-1 - No Definido",1
"8","Número de Cotizantes",86,"MASCULINO","2019/01/08","NO REPORTADO","-1 - No Definido",1
"9","Número de Cotizantes",26,"FEMENINO","2019/01/09","NO REPORTADO","-1 - No Definido",1
"10","Número de Cotizantes",28,"FEMENINO","2019/01/09","NO REPORTADO","-1 - No Definido",1
"11","Número de Cotizantes",37,"MASCULINO","2019/01/09","NO REPORTADO","-1 - No Definido",1
"12","Número de Cotizantes",95,"MASCULINO","2019/01/09","NO REPORTADO","-1 - No Definido",1
"13","Número de Cotizantes",64,"FEMENINO","2019/01/16","NO REPORTADO","-1 - No Definido",1
"14","Número de Cotizantes",37,"MASCULINO","2019/02/05","NO REPORTADO","-1 - No Definido",1
"15","Número de Cotizantes",86,"MASCULINO","2019/02/05","NO REPORTADO","-1 - No Definido",1
"16","Número de Cotizantes",26,"MASCULINO","2019/02/06","NO REPORTADO","-1 - No Definido",1
"17","Número de Cotizantes",26,"FEMENINO","2019/02/07","NO REPORTADO","-1 - No Definido",1
"18","Número de Cotizantes",28,"FEMENINO","2019/02/07","NO REPORTADO","-1 - No Definido",1
"19","Número de Cotizantes",95,"MASCULINO","2019/02/07","NO REPORTADO","-1 - No Definido",1
"20","Número de Cotizantes",28,"MASCULINO","2019/02/08","NO REPORTADO","-1 - No Definido",1
"21","Número de Cotizantes",32,"FEMENINO","2019/02/11","NO REPORTADO","-1 - No Definido",1
"22","Número de Cotizantes",28,"MASCULINO","2019/02/11","NO REPORTADO","-1 - No Definido",1
"23","Número de Cotizantes",64,"FEMENINO","2019/02/13","NO REPORTADO","-1 - No Definido",1
"24","Número de Cotizantes",86,"MASCULINO","2019/03/04","NO REPORTADO","-1 - No Definido",1
"25","Número de Cotizantes",28,"MASCULINO","2019/03/05","NO REPORTADO","-1 - No Definido",1
"26","Número de Cotizantes",37,"MASCULINO","2019/03/05","NO REPORTADO","-1 - No Definido",1
"27","Número de Cotizantes",26,"FEMENINO","2019/03/07","NO REPORTADO","-1 - No Definido",1
"28","Número de Cotizantes",28,"FEMENINO","2019/03/07","NO REPORTADO","-1 - No Definido",1
"29","Número de Cotizantes",95,"MASCULINO","2019/03/07","NO REPORTADO","-1 - No Definido",1
"30","Número de Cotizantes",32,"FEMENINO","2019/03/11","NO REPORTADO","-1 - No Definido",1
"31","Número de Cotizantes",28,"MASCULINO","2019/03/11","NO REPORTADO","-1 - No Definido",1
"32","Número de Cotizantes",64,"FEMENINO","2019/03/13","NO REPORTADO","-1 - No Definido",1
"33","Número de Cotizantes",37,"MASCULINO","2019/04/02","NO REPORTADO","-1 - No Definido",1
"34","Número de Cotizantes",86,"MASCULINO","2019/04/02","NO REPORTADO","-1 - No Definido",1
"35","Número de Cotizantes",26,"MASCULINO","2019/04/03","NO REPORTADO","-1 - No Definido",1
"36","Número de Cotizantes",26,"FEMENINO","2019/04/05","NO REPORTADO","-1 - No Definido",1
"37","Número de Cotizantes",28,"FEMENINO","2019/04/05","NO REPORTADO","-1 - No Definido",1
"38","Número de Cotizantes",28,"MASCULINO","2019/04/05","NO REPORTADO","-1 - No Definido",1
"39","Número de Cotizantes",54,"MASCULINO","2019/04/05","NO REPORTADO","-1 - No Definido",1
"40","Número de Cotizantes",95,"MASCULINO","2019/04/05","NO REPORTADO","-1 - No Definido",1
"41","Número de Cotizantes",32,"FEMENINO","2019/04/08","NO REPORTADO","-1 - No Definido",1
"42","Número de Cotizantes",28,"MASCULINO","2019/04/09","NO REPORTADO","-1 - No Definido",1
"43","Número de Cotizantes",64,"FEMENINO","2019/04/11","NO REPORTADO","-1 - No Definido",1
"44","Número de Cotizantes",32,"MASCULINO","2019/04/15","NO REPORTADO","-1 - No Definido",1
"45","Número de Cotizantes",35,"MASCULINO","2019/04/15","NO REPORTADO","-1 - No Definido",1
"46","Número de Cotizantes",26,"MASCULINO","2019/04/22","NO REPORTADO","-1 - No Definido",1
