"","Measures","Edad","Sexo","Hierarchy","Etnia","Geografiia Cotizante","value"
"1","Numero de Dias Cotizados",46,"MASCULINO","2019/01/10","NO REPORTADO","05147 - Carepa",30
"2","Numero de Dias Cotizados",46,"MASCULINO","2019/02/11","NO REPORTADO","05147 - Carepa",120
"3","Numero de Dias Cotizados",46,"MASCULINO","2019/03/11","NO REPORTADO","05147 - Carepa",120
"4","Numero de Dias Cotizados",46,"MASCULINO","2019/04/09","NO REPORTADO","05147 - Carepa",120
"5","Numero de Dias Cotizados",46,"MASCULINO","2019/05/10","NO REPORTADO","05147 - Carepa",120
"6","Numero de Dias Cotizados",46,"MASCULINO","2019/06/12","NO REPORTADO","05147 - Carepa",120
"7","Numero de Dias Cotizados",46,"MASCULINO","2019/07/10","NO REPORTADO","05147 - Carepa",120
"8","Numero de Dias Cotizados",46,"MASCULINO","2019/08/12","NO REPORTADO","05147 - Carepa",120
"9","Numero de Dias Cotizados",46,"MASCULINO","2019/09/10","NO REPORTADO","05147 - Carepa",120
"10","Numero de Dias Cotizados",46,"MASCULINO","2019/10/09","NO REPORTADO","05147 - Carepa",120
"11","Numero de Dias Cotizados",46,"MASCULINO","2019/11/13","NO REPORTADO","05147 - Carepa",120
"12","Numero de Dias Cotizados",46,"MASCULINO","2019/12/10","NO REPORTADO","05147 - Carepa",98
"13","Numero de Dias Cotizados",28,"MASCULINO","2019/08/22","NO REPORTADO","05088 - Bello",20
"14","Numero de Dias Cotizados",28,"MASCULINO","2019/09/19","NO REPORTADO","05088 - Bello",20
"15","Numero de Dias Cotizados",42,"MASCULINO","2019/04/22","NEGRO, MULATO, AFROCOLOMBIANO O AFRODESC","05001 - Medellín",120
"16","Numero de Dias Cotizados",42,"MASCULINO","2019/05/21","NEGRO, MULATO, AFROCOLOMBIANO O AFRODESC","05001 - Medellín",120
"17","Numero de Dias Cotizados",42,"MASCULINO","2019/06/21","NEGRO, MULATO, AFROCOLOMBIANO O AFRODESC","05001 - Medellín",120
"18","Numero de Dias Cotizados",42,"MASCULINO","2019/07/19","NEGRO, MULATO, AFROCOLOMBIANO O AFRODESC","05001 - Medellín",120
"19","Numero de Dias Cotizados",42,"MASCULINO","2019/08/22","NEGRO, MULATO, AFROCOLOMBIANO O AFRODESC","05001 - Medellín",120
"20","Numero de Dias Cotizados",42,"MASCULINO","2019/09/19","NEGRO, MULATO, AFROCOLOMBIANO O AFRODESC","05001 - Medellín",120
"21","Numero de Dias Cotizados",42,"MASCULINO","2019/10/21","NEGRO, MULATO, AFROCOLOMBIANO O AFRODESC","05001 - Medellín",120
"22","Numero de Dias Cotizados",42,"MASCULINO","2019/11/25","NEGRO, MULATO, AFROCOLOMBIANO O AFRODESC","05001 - Medellín",120
"23","Numero de Dias Cotizados",42,"MASCULINO","2019/12/19","NEGRO, MULATO, AFROCOLOMBIANO O AFRODESC","05001 - Medellín",120
"24","Numero de Dias Cotizados",42,"MASCULINO","2020/01/22","NEGRO, MULATO, AFROCOLOMBIANO O AFRODESC","05001 - Medellín",90
"25","Numero de Dias Cotizados",43,"MASCULINO","2019/01/09","NO REPORTADO","05001 - Medellín",30
"26","Numero de Dias Cotizados",41,"MASCULINO","2019/01/11","NO REPORTADO","05001 - Medellín",14
"27","Numero de Dias Cotizados",43,"MASCULINO","2019/02/07","NO REPORTADO","05001 - Medellín",120
"28","Numero de Dias Cotizados",41,"MASCULINO","2019/02/13","NO REPORTADO","05001 - Medellín",68
"29","Numero de Dias Cotizados",43,"MASCULINO","2019/03/07","NO REPORTADO","05001 - Medellín",120
"30","Numero de Dias Cotizados",41,"MASCULINO","2019/03/13","NO REPORTADO","05001 - Medellín",120
"31","Numero de Dias Cotizados",43,"MASCULINO","2019/04/05","NO REPORTADO","05001 - Medellín",120
"32","Numero de Dias Cotizados",41,"MASCULINO","2019/04/11","NO REPORTADO","05001 - Medellín",120
"33","Numero de Dias Cotizados",36,"MASCULINO","2019/04/22","NO REPORTADO","05001 - Medellín",120
"34","Numero de Dias Cotizados",43,"MASCULINO","2019/05/08","NO REPORTADO","05001 - Medellín",120
"35","Numero de Dias Cotizados",41,"MASCULINO","2019/05/14","NO REPORTADO","05001 - Medellín",120
"36","Numero de Dias Cotizados",36,"MASCULINO","2019/05/21","NO REPORTADO","05001 - Medellín",108
"37","Numero de Dias Cotizados",43,"MASCULINO","2019/06/10","NO REPORTADO","05001 - Medellín",102
"38","Numero de Dias Cotizados",41,"MASCULINO","2019/06/14","NO REPORTADO","05001 - Medellín",120
"39","Numero de Dias Cotizados",43,"MASCULINO","2019/07/10","NO REPORTADO","05001 - Medellín",120
"40","Numero de Dias Cotizados",41,"MASCULINO","2019/07/12","NO REPORTADO","05001 - Medellín",120
"41","Numero de Dias Cotizados",43,"MASCULINO","2019/08/08","NO REPORTADO","05001 - Medellín",120
"42","Numero de Dias Cotizados",41,"MASCULINO","2019/08/14","NO REPORTADO","05001 - Medellín",120
"43","Numero de Dias Cotizados",43,"MASCULINO","2019/09/06","NO REPORTADO","05001 - Medellín",120
"44","Numero de Dias Cotizados",41,"MASCULINO","2019/09/12","NO REPORTADO","05001 - Medellín",120
"45","Numero de Dias Cotizados",43,"MASCULINO","2019/10/07","NO REPORTADO","05001 - Medellín",120
"46","Numero de Dias Cotizados",41,"MASCULINO","2019/10/11","NO REPORTADO","05001 - Medellín",120
"47","Numero de Dias Cotizados",43,"MASCULINO","2019/11/08","NO REPORTADO","05001 - Medellín",120
"48","Numero de Dias Cotizados",41,"MASCULINO","2019/11/15","NO REPORTADO","05001 - Medellín",120
"49","Numero de Dias Cotizados",43,"MASCULINO","2019/12/06","NO REPORTADO","05001 - Medellín",120
"50","Numero de Dias Cotizados",41,"MASCULINO","2019/12/12","NO REPORTADO","05001 - Medellín",120
"51","Numero de Dias Cotizados",41,"MASCULINO","2020/01/02","NO REPORTADO","05001 - Medellín",39
"52","Numero de Dias Cotizados",43,"MASCULINO","2020/01/09","NO REPORTADO","05001 - Medellín",90
"53","Numero de Dias Cotizados",36,"MASCULINO","2019/08/22","NO REPORTADO","05030 - Amagá",16
"54","Numero de Dias Cotizados",36,"MASCULINO","2019/09/19","NO REPORTADO","05030 - Amagá",4
"55","Numero de Dias Cotizados",26,"FEMENINO","2019/05/08","NO REPORTADO","08606 - Repelón",60
"56","Numero de Dias Cotizados",26,"FEMENINO","2019/06/10","NO REPORTADO","08606 - Repelón",60
"57","Numero de Dias Cotizados",43,"FEMENINO","2019/01/09","NO REPORTADO","08001 - Barranquilla",30
"58","Numero de Dias Cotizados",43,"FEMENINO","2019/02/07","NO REPORTADO","08001 - Barranquilla",120
"59","Numero de Dias Cotizados",43,"FEMENINO","2019/03/07","NO REPORTADO","08001 - Barranquilla",120
"60","Numero de Dias Cotizados",43,"FEMENINO","2019/04/05","NO REPORTADO","08001 - Barranquilla",120
"61","Numero de Dias Cotizados",43,"FEMENINO","2019/05/08","NO REPORTADO","08001 - Barranquilla",112
"62","Numero de Dias Cotizados",43,"FEMENINO","2019/06/10","NO REPORTADO","08001 - Barranquilla",116
"63","Numero de Dias Cotizados",43,"FEMENINO","2019/07/10","NO REPORTADO","08001 - Barranquilla",120
"64","Numero de Dias Cotizados",43,"FEMENINO","2019/08/08","NO REPORTADO","08001 - Barranquilla",120
"65","Numero de Dias Cotizados",43,"FEMENINO","2019/09/06","NO REPORTADO","08001 - Barranquilla",120
"66","Numero de Dias Cotizados",43,"FEMENINO","2019/10/07","NO REPORTADO","08001 - Barranquilla",120
"67","Numero de Dias Cotizados",43,"FEMENINO","2019/11/08","NO REPORTADO","08001 - Barranquilla",120
"68","Numero de Dias Cotizados",43,"FEMENINO","2019/12/06","NO REPORTADO","08001 - Barranquilla",120
"69","Numero de Dias Cotizados",43,"FEMENINO","2020/01/09","NO REPORTADO","08001 - Barranquilla",90
"70","Numero de Dias Cotizados",34,"MASCULINO","2019/04/22","INDÍGENA","11001 - Bogotá, D.C.",120
"71","Numero de Dias Cotizados",40,"MASCULINO","2019/04/22","INDÍGENA","11001 - Bogotá, D.C.",120
"72","Numero de Dias Cotizados",34,"MASCULINO","2019/05/21","INDÍGENA","11001 - Bogotá, D.C.",112
"73","Numero de Dias Cotizados",40,"MASCULINO","2019/05/21","INDÍGENA","11001 - Bogotá, D.C.",120
"74","Numero de Dias Cotizados",34,"MASCULINO","2019/06/21","INDÍGENA","11001 - Bogotá, D.C.",36
"75","Numero de Dias Cotizados",40,"MASCULINO","2019/06/21","INDÍGENA","11001 - Bogotá, D.C.",120
