"","Measures","Edad","Sexo","Hierarchy","Etnia","Geografiia Cotizante","value"
"1","Valor IBC",46,"MASCULINO","2019/01/10","NO REPORTADO","05147 - Carepa",1453693
"2","Valor IBC",46,"MASCULINO","2019/02/11","NO REPORTADO","05147 - Carepa",9961796
"3","Valor IBC",46,"MASCULINO","2019/03/11","NO REPORTADO","05147 - Carepa",10261508
"4","Valor IBC",46,"MASCULINO","2019/04/09","NO REPORTADO","05147 - Carepa",8879508
"5","Valor IBC",46,"MASCULINO","2019/05/10","NO REPORTADO","05147 - Carepa",8889332
"6","Valor IBC",46,"MASCULINO","2019/06/12","NO REPORTADO","05147 - Carepa",9983044
"7","Valor IBC",46,"MASCULINO","2019/07/10","NO REPORTADO","05147 - Carepa",5858696
"8","Valor IBC",46,"MASCULINO","2019/08/12","NO REPORTADO","05147 - Carepa",7612844
"9","Valor IBC",46,"MASCULINO","2019/09/10","NO REPORTADO","05147 - Carepa",8102400
"10","Valor IBC",46,"MASCULINO","2019/10/09","NO REPORTADO","05147 - Carepa",9616000
"11","Valor IBC",46,"MASCULINO","2019/11/13","NO REPORTADO","05147 - Carepa",6164436
"12","Valor IBC",46,"MASCULINO","2019/12/10","NO REPORTADO","05147 - Carepa",4116275
"13","Valor IBC",28,"MASCULINO","2019/08/22","NO REPORTADO","05088 - Bello",552080
"14","Valor IBC",28,"MASCULINO","2019/09/19","NO REPORTADO","05088 - Bello",552080
"15","Valor IBC",42,"MASCULINO","2019/04/22","NEGRO, MULATO, AFROCOLOMBIANO O AFRODESC","05001 - Medellín",4703036
"16","Valor IBC",42,"MASCULINO","2019/05/21","NEGRO, MULATO, AFROCOLOMBIANO O AFRODESC","05001 - Medellín",4136032
"17","Valor IBC",42,"MASCULINO","2019/06/21","NEGRO, MULATO, AFROCOLOMBIANO O AFRODESC","05001 - Medellín",6405440
"18","Valor IBC",42,"MASCULINO","2019/07/19","NEGRO, MULATO, AFROCOLOMBIANO O AFRODESC","05001 - Medellín",5114584
"19","Valor IBC",42,"MASCULINO","2019/08/22","NEGRO, MULATO, AFROCOLOMBIANO O AFRODESC","05001 - Medellín",5195488
"20","Valor IBC",42,"MASCULINO","2019/09/19","NEGRO, MULATO, AFROCOLOMBIANO O AFRODESC","05001 - Medellín",4747500
"21","Valor IBC",42,"MASCULINO","2019/10/21","NEGRO, MULATO, AFROCOLOMBIANO O AFRODESC","05001 - Medellín",5785764
"22","Valor IBC",42,"MASCULINO","2019/11/25","NEGRO, MULATO, AFROCOLOMBIANO O AFRODESC","05001 - Medellín",6701296
"23","Valor IBC",42,"MASCULINO","2019/12/19","NEGRO, MULATO, AFROCOLOMBIANO O AFRODESC","05001 - Medellín",6663020
"24","Valor IBC",42,"MASCULINO","2020/01/22","NEGRO, MULATO, AFROCOLOMBIANO O AFRODESC","05001 - Medellín",2853708
"25","Valor IBC",43,"MASCULINO","2019/01/09","NO REPORTADO","05001 - Medellín",1507830
"26","Valor IBC",41,"MASCULINO","2019/01/11","NO REPORTADO","05001 - Medellín",1254202
"27","Valor IBC",43,"MASCULINO","2019/02/07","NO REPORTADO","05001 - Medellín",6900475
"28","Valor IBC",41,"MASCULINO","2019/02/13","NO REPORTADO","05001 - Medellín",3799376
"29","Valor IBC",43,"MASCULINO","2019/03/07","NO REPORTADO","05001 - Medellín",6145832
"30","Valor IBC",41,"MASCULINO","2019/03/13","NO REPORTADO","05001 - Medellín",6279612
"31","Valor IBC",43,"MASCULINO","2019/04/05","NO REPORTADO","05001 - Medellín",5742188
"32","Valor IBC",41,"MASCULINO","2019/04/11","NO REPORTADO","05001 - Medellín",6685540
"33","Valor IBC",36,"MASCULINO","2019/04/22","NO REPORTADO","05001 - Medellín",6594664
