"","month","value","year","Departamento","Municipio","variable","sector"
"1","Enero",2483,2016,"05 - Antioquia","05001 - Medellín","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"2","Febrero",2520,2016,"05 - Antioquia","05001 - Medellín","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"3","Marzo",2525,2016,"05 - Antioquia","05001 - Medellín","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"4","Abril",2490,2016,"05 - Antioquia","05001 - Medellín","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"5","Mayo",2713,2016,"05 - Antioquia","05001 - Medellín","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"6","Junio",2792,2016,"05 - Antioquia","05001 - Medellín","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"7","Julio",2676,2016,"05 - Antioquia","05001 - Medellín","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"8","Agosto",2790,2016,"05 - Antioquia","05001 - Medellín","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"9","Septiembre",2794,2016,"05 - Antioquia","05001 - Medellín","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"10","Octubre",2807,2016,"05 - Antioquia","05001 - Medellín","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"11","Noviembre",2775,2016,"05 - Antioquia","05001 - Medellín","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"12","Diciembre",2749,2016,"05 - Antioquia","05001 - Medellín","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"13","Enero",12,2016,"05 - Antioquia","05002 - Abejorral","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"21","Febrero",8,2016,"05 - Antioquia","05002 - Abejorral","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"31","Marzo",7,2016,"05 - Antioquia","05002 - Abejorral","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"41","Abril",6,2016,"05 - Antioquia","05002 - Abejorral","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"51","Mayo",6,2016,"05 - Antioquia","05002 - Abejorral","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"61","Junio",6,2016,"05 - Antioquia","05002 - Abejorral","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"71","Julio",12,2016,"05 - Antioquia","05002 - Abejorral","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"81","Agosto",12,2016,"05 - Antioquia","05002 - Abejorral","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"91","Septiembre",12,2016,"05 - Antioquia","05002 - Abejorral","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"101","Octubre",12,2016,"05 - Antioquia","05002 - Abejorral","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"111","Noviembre",10,2016,"05 - Antioquia","05002 - Abejorral","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"121","Diciembre",9,2016,"05 - Antioquia","05002 - Abejorral","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"14","Enero",NA,2016,"05 - Antioquia","05004 - Abriaquí","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"22","Febrero",NA,2016,"05 - Antioquia","05004 - Abriaquí","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"32","Marzo",NA,2016,"05 - Antioquia","05004 - Abriaquí","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"42","Abril",NA,2016,"05 - Antioquia","05004 - Abriaquí","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"52","Mayo",NA,2016,"05 - Antioquia","05004 - Abriaquí","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"62","Junio",NA,2016,"05 - Antioquia","05004 - Abriaquí","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"72","Julio",NA,2016,"05 - Antioquia","05004 - Abriaquí","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"82","Agosto",NA,2016,"05 - Antioquia","05004 - Abriaquí","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"92","Septiembre",NA,2016,"05 - Antioquia","05004 - Abriaquí","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"102","Octubre",NA,2016,"05 - Antioquia","05004 - Abriaquí","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"112","Noviembre",NA,2016,"05 - Antioquia","05004 - Abriaquí","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"122","Diciembre",NA,2016,"05 - Antioquia","05004 - Abriaquí","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"15","Enero",NA,2016,"05 - Antioquia","05021 - Alejandría","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"23","Febrero",1,2016,"05 - Antioquia","05021 - Alejandría","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
